date,KC,CC,CT,SB
2025-11-13,401.70001220703125,5487.0,62.900001525878906,14.4399995803833
2025-11-14,399.79998779296875,5287.0,62.4900016784668,14.960000038146973
2025-11-17,402.54998779296875,5264.0,62.36000061035156,14.800000190734863
2025-11-18,415.3500061035156,5262.0,62.56999969482422,14.699999809265137
2025-11-19,404.5,4943.0,62.29999923706055,14.65999984741211
2025-11-20,406.5,5108.0,61.68000030517578,14.65999984741211
2025-11-21,400.0,5084.0,61.349998474121094,14.779999732971191
2025-11-24,407.45001220703125,5090.0,61.439998626708984,14.819999694824219
2025-11-25,414.20001220703125,4999.0,62.43000030517578,14.90999984741211
2025-11-26,411.5,4993.0,62.77000045776367,15.140000343322754
2025-11-28,413.0,5404.0,62.90999984741211,15.210000038146973
2025-12-01,411.5,5456.0,62.83000183105469,14.760000228881836
2025-12-02,405.54998779296875,5401.0,62.77000045776367,14.979999542236328
2025-12-03,403.75,5453.0,62.65999984741211,14.930000305175781
2025-12-04,411.95001220703125,5434.0,62.279998779296875,14.880000114440918
2025-12-05,406.25,5643.0,62.130001068115234,14.800000190734863
2025-12-08,396.04998779296875,5648.0,61.880001068115234,14.819999694824219
2025-12-09,394.20001220703125,5829.0,63.86000061035156,14.670000076293945
2025-12-10,400.79998779296875,6168.0,64.12000274658203,14.90999984741211
2025-12-11,405.45001220703125,6235.0,63.970001220703125,14.850000381469727
2025-12-12,397.20001220703125,6226.0,63.83000183105469,15.100000381469727
2025-12-15,387.70001220703125,5823.0,63.939998626708984,14.949999809265137
2025-12-16,379.29998779296875,5998.0,63.099998474121094,14.819999694824219
2025-12-17,351.8999938964844,5978.0,63.43000030517578,14.760000228881836
2025-12-18,345.45001220703125,5934.0,63.5099983215332,14.479999542236328
2025-12-19,340.6499938964844,5845.0,63.75,14.819999694824219
2025-12-22,347.3500061035156,5887.0,63.61000061035156,14.989999771118164
2025-12-23,346.95001220703125,5958.0,64.01000213623047,15.199999809265137
2025-12-24,345.1499938964844,5966.0,64.23999786376953,15.289999961853027
2025-12-26,350.25,5953.0,64.48999786376953,15.170000076293945
2025-12-29,352.1499938964844,6242.0,64.3499984741211,15.260000228881836
2025-12-30,350.20001220703125,6063.0,64.31999969482422,14.84000015258789
2025-12-31,348.75,6065.0,64.2699966430664,15.010000228881836
2026-01-02,357.29998779296875,5871.0,64.01000213623047,14.600000381469727
2026-01-05,359.3500061035156,6077.0,64.6500015258789,14.729999542236328
2026-01-06,373.8500061035156,5954.0,65.05999755859375,14.760000228881836
2026-01-07,375.45001220703125,5915.0,64.8499984741211,14.979999542236328
2026-01-08,372.3500061035156,6077.0,64.45999908447266,14.970000267028809
2026-01-09,357.6499938964844,5345.0,64.41000366210938,14.890000343322754
2026-01-12,356.04998779296875,5443.0,64.91000366210938,14.84000015258789
2026-01-13,360.25,5224.0,64.87999725341797,14.890000343322754
2026-01-14,356.0,5090.0,64.98999786376953,14.680000305175781
2026-01-15,358.1000061035156,4966.0,64.70999908447266,14.569999694824219
2026-01-16,355.29998779296875,5076.0,64.66000366210938,14.960000038146973
2026-01-20,346.5,4648.0,64.33999633789062,14.720000267028809
2026-01-21,347.5,4448.0,64.30000305175781,14.739999771118164
2026-01-22,347.70001220703125,4469.0,63.880001068115234,14.960000038146973
2026-01-23,350.8999938964844,4201.0,63.810001373291016,14.729999542236328
2026-01-26,356.25,4348.0,62.970001220703125,14.789999961853027
2026-01-27,367.25,4433.0,63.83000183105469,14.829999923706055
2026-01-28,351.0,4150.0,63.72999954223633,14.710000038146973
2026-01-29,345.5,4177.0,63.47999954223633,14.699999809265137
2026-01-30,332.25,4165.0,63.16999816894531,14.270000457763672
2026-02-02,333.25,4210.0,62.66999816894531,14.260000228881836
2026-02-03,317.1000061035156,4300.0,62.310001373291016,14.630000114440918
2026-02-04,308.6499938964844,4086.0,62.2400016784668,14.4399995803833
2026-02-05,308.3999938964844,4209.0,61.7599983215332,14.270000457763672
2026-02-06,296.54998779296875,4197.0,61.060001373291016,14.109999656677246
2026-02-09,299.8500061035156,4102.0,61.61000061035156,14.350000381469727
2026-02-10,294.20001220703125,3805.0,61.59000015258789,14.119999885559082
2026-02-11,294.79998779296875,3762.0,61.9900016784668,13.84000015258789
2026-02-12,299.6499938964844,3632.0,62.290000915527344,13.75
2026-02-13,300.04998779296875,3581.0,62.11000061035156,13.779999732971191
2026-02-17,284.6000061035156,3384.0,61.52000045776367,13.859999656677246
2026-02-18,287.54998779296875,3226.0,61.54999923706055,14.170000076293945
2026-02-19,287.3999938964844,2968.0,61.93000030517578,14.069999694824219
2026-02-20,288.29998779296875,3080.0,63.029998779296875,14.300000190734863
2026-02-23,281.1499938964844,3004.0,63.560001373291016,14.449999809265137
2026-02-24,288.25,2997.0,63.560001373291016,14.550000190734863
2026-02-25,288.29998779296875,2957.0,64.16999816894531,14.59000015258789
2026-02-26,286.0,2974.0,63.36000061035156,14.40999984741211
2026-02-27,284.6000061035156,2798.0,63.61000061035156,14.300000190734863
2026-03-02,288.3500061035156,2931.0,62.59000015258789,13.90999984741211
2026-03-03,286.95001220703125,2925.0,62.040000915527344,13.930000305175781
2026-03-04,290.70001220703125,2968.0,62.15999984741211,13.729999542236328
2026-03-05,293.0,2963.0,63.029998779296875,13.720000267028809
2026-03-06,297.6000061035156,3138.0,63.189998626708984,14.100000381469727
2026-03-09,301.75,3197.0,63.59000015258789,14.59000015258789
2026-03-10,300.54998779296875,3356.0,65.30000305175781,14.380000114440918
2026-03-11,292.0,3337.0,65.16999816894531,14.25
2026-03-12,296.5,3223.0,65.13999938964844,14.380000114440918
2026-03-13,285.1499938964844,,65.81999969482422,14.40999984741211
